RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude
H,1,769575,103,3,10,0,1,10003014702-1,10003014702,-7.57384458654364E1,3.96478820855156E1
H,1,742382,103,3,10,2800,1,10003014702-2,10003014702,-7.5742265943698E1,3.9646564014823E1
H,1,532589,103,3,10,7000,1,10003014702-3,10003014702,-7.5741773489137E1,3.96466381189046E1
H,1,1309363,103,3,10,0,1,10003014702-4,10003014702,-7.57402425933167E1,3.9647088582957E1
H,1,1293114,103,3,10,2400,1,10003014702-5,10003014702,-7.57409062997898E1,3.964675760292E1
H,1,101510,103,3,10,1900,1,10003014702-6,10003014702,-7.5740363442222E1,3.96469863938688E1
H,1,523721,103,3,10,7300,1,10003014702-7,10003014702,-7.5741142957761E1,3.96467459693506E1
H,1,436881,103,3,10,0,1,10003014702-8,10003014702,-7.57394021589007E1,3.96471864341277E1
H,1,1255345,103,3,10,1500,1,10003014702-9,10003014702,-7.57396389824734E1,3.96468094112126E1
H,1,384082,103,3,10,480,1,10003014702-10,10003014702,-7.57398374086712E1,3.9646786665855E1
H,1,1165564,103,3,10,1900,1,10003014702-11,10003014702,-7.5739015262544E1,3.96472602087387E1
H,1,1350877,103,3,10,8300,1,10003014702-12,10003014702,-7.57394664987901E1,3.96470233285006E1
H,1,8806,103,3,10,8400,1,10003014702-13,10003014702,-7.57322127818081E1,3.96488166556868E1
H,1,1038645,103,3,10,9580,1,10003014702-14,10003014702,-7.57326301010923E1,3.96496795511073E1
H,1,8806,103,3,10,8400,1,10003014702-15,10003014702,-7.573236962095E1,3.96498301532325E1
H,1,568975,103,3,10,7200,1,10003014702-16,10003014702,-7.5732014289749E1,3.9649791697127E1
H,1,51899,103,3,10,2200,1,10003014702-17,10003014702,-7.57321360310288E1,3.96492830373041E1
H,1,358828,103,3,10,8400,1,10003014702-18,10003014702,-7.57322073619873E1,3.96503038412043E1
H,1,153960,103,3,10,9800,1,10003014702-19,10003014702,-7.57510944628137E1,3.96554497592173E1
