RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude,RT,puma_id,ST,SEX,AGEP,SCH,SCHG,RELP,HISP,ESR,PINCP,NATIVITY,OCCP,POBP,RAC1P,SYNTHETIC_PID,school_id,workplace_id
H,1,524185,103,3,10,5000,1,10003014402-1,10003014402,-7.57539338617662E1,3.96538994871542E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-1-1,,635158728
H,1,524185,103,3,10,5000,1,10003014402-2,10003014402,-7.5754608121489E1,3.9653385400627E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-2-2,,481910438
H,1,571296,103,3,10,3500,1,10003014402-3,10003014402,-7.57517490525208E1,3.96570111684485E1,P,200,10,2,23,1,,0,1,1,3500,1,2060,24,1,10003014402-3-3,,664590692
H,1,1261217,103,3,10,1700,1,10003014402-4,10003014402,-7.575141887771E1,3.9656708318535E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-4-4,,7512114
H,1,724559,103,3,10,8000,1,10003014402-5,10003014402,-7.57515186212524E1,3.96569270782716E1,P,200,10,1,21,2,15,0,1,1,8000,1,2200,17,1,10003014402-5-5,,242219954
H,1,724559,103,3,10,8000,1,10003014402-6,10003014402,-7.57510713017361E1,3.9656654582584E1,P,200,10,1,21,2,15,0,1,1,8000,1,2200,17,1,10003014402-6-6,,121541791
H,1,1261217,103,3,10,1700,1,10003014402-7,10003014402,-7.57515139391373E1,3.9656494453854E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-7-7,,669614059
H,1,1261217,103,3,10,1700,1,10003014402-8,10003014402,-7.5751463452296E1,3.96558194812326E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-8-8,,209264787
H,1,724559,103,3,10,8000,1,10003014402-9,10003014402,-7.57515014388628E1,3.96557195758251E1,P,200,10,1,21,2,15,0,1,1,8000,1,2200,17,1,10003014402-9-9,,816341556
H,1,1261217,103,3,10,1700,1,10003014402-10,10003014402,-7.57514143801317E1,3.96570646049021E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-10-10,,816300800
H,1,524185,103,3,10,5000,1,10003014402-11,10003014402,-7.57514361379881E1,3.96572738389723E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-11-11,,400173987
H,1,571296,103,3,10,3500,1,10003014402-12,10003014402,-7.57512810436967E1,3.9656911293988E1,P,200,10,2,23,1,,0,1,1,3500,1,2060,24,1,10003014402-12-12,,816264717
H,1,571296,103,3,10,3500,1,10003014402-13,10003014402,-7.575146266664E1,3.9656662495498E1,P,200,10,2,23,1,,0,1,1,3500,1,2060,24,1,10003014402-13-13,,664590692
H,1,1261217,103,3,10,1700,1,10003014402-14,10003014402,-7.57512884238078E1,3.96563686233145E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-14-14,,448239376
H,1,724559,103,3,10,8000,1,10003014402-15,10003014402,-7.57514818449345E1,3.96559220435046E1,P,200,10,1,21,2,15,0,1,1,8000,1,2200,17,1,10003014402-15-15,,463555656
H,1,1210750,103,3,10,30000,1,10003014402-16,10003014402,-7.57536355989797E1,3.96535161578313E1,P,200,10,2,23,1,,0,1,1,30000,1,2310,10,1,10003014402-16-16,,816234637
H,1,524185,103,3,10,5000,1,10003014402-17,10003014402,-7.5755461612249E1,3.96547524781471E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-17-17,,816387823
H,1,1261217,103,3,10,1700,1,10003014402-18,10003014402,-7.57562077821973E1,3.96551498174102E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-18-18,,447421017
H,1,524185,103,3,10,5000,1,10003014402-19,10003014402,-7.57551970499673E1,3.96549151163677E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-19-19,,816247266
H,1,1261217,103,3,10,1700,1,10003014402-20,10003014402,-7.57538146601063E1,3.96538580560195E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-20-20,,121499925
H,1,524185,103,3,10,5000,1,10003014402-21,10003014402,-7.57548546511188E1,3.96535499201978E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-21-21,,121498141
H,1,724559,103,3,10,8000,1,10003014402-22,10003014402,-7.57549913616457E1,3.96547392507361E1,P,200,10,1,21,2,15,0,1,1,8000,1,2200,17,1,10003014402-22-22,,528745938
H,1,524185,103,3,10,5000,1,10003014402-23,10003014402,-7.57559214432035E1,3.96555890082921E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-23-23,,447420159
H,1,666613,103,3,10,9200,1,10003014402-24,10003014402,-7.57556722890022E1,3.96552566937595E1,P,103,10,2,21,2,15,0,1,1,9200,1,2540,6,1,10003014402-24-24,,889386041
H,1,571296,103,3,10,3500,1,10003014402-25,10003014402,-7.5754262441783E1,3.96543362477318E1,P,200,10,2,23,1,,0,1,1,3500,1,2060,24,1,10003014402-25-25,,121529994
H,1,571296,103,3,10,3500,1,10003014402-26,10003014402,-7.57541637579673E1,3.96539617732461E1,P,200,10,2,23,1,,0,1,1,3500,1,2060,24,1,10003014402-26-26,,367245768
H,1,666613,103,3,10,9200,1,10003014402-27,10003014402,-7.5755506955762E1,3.96550923068008E1,P,103,10,2,21,2,15,0,1,1,9200,1,2540,6,1,10003014402-27-27,,400842969
H,1,524185,103,3,10,5000,1,10003014402-28,10003014402,-7.57525111342786E1,3.96549089419425E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003014402-28-28,,121439020
H,1,724559,103,3,10,8000,1,10003014402-29,10003014402,-7.5753395831564E1,3.96543213926805E1,P,200,10,1,21,2,15,0,1,1,8000,1,2200,17,1,10003014402-29-29,,635164098
H,1,1261217,103,3,10,1700,1,10003014402-30,10003014402,-7.57529897770566E1,3.96545240287791E1,P,103,10,1,19,2,15,0,1,1,1700,1,4140,10,1,10003014402-30-30,,945093904
H,1,742382,103,3,10,2800,1,10003014402-31,10003014402,-7.57536439633063E1,3.96543182384791E1,P,200,10,2,34,1,,0,1,3,2800,1,2310,34,1,10003014402-31-31,,
H,1,742382,103,3,10,2800,1,10003014402-32,10003014402,-7.57537890713493E1,3.96538395437596E1,P,200,10,2,34,1,,0,1,3,2800,1,2310,34,1,10003014402-32-32,,
H,1,769575,103,3,10,0,1,10003014402-33,10003014402,-7.5752597055445E1,3.96545800108816E1,P,101,10,1,30,3,16,0,1,6,0,2,,235,1,10003014402-33-33,,
H,1,1030381,103,3,10,4000,1,10003014402-34,10003014402,-7.57554932934476E1,3.965693482761E1,P,101,10,1,40,1,,0,1,3,4000,1,9620,42,1,10003014402-34-34,,
H,1,532589,103,3,10,7000,1,10003014402-35,10003014402,-7.57554135494071E1,3.9655845095633E1,P,103,10,1,43,1,,0,1,3,7000,1,8965,12,1,10003014402-35-35,,
H,1,921418,103,3,10,9600,1,10003014402-36,10003014402,-7.57555479937424E1,3.96560154984022E1,P,104,10,2,51,1,,0,1,6,9600,1,3500,34,1,10003014402-36-36,,
H,1,791265,103,3,10,0,1,10003014402-37,10003014402,-7.57551083247193E1,3.96561190366578E1,P,300,10,1,52,1,,0,1,6,0,1,,10,1,10003014402-37-37,,
H,1,1345290,103,3,10,1000,1,10003014402-38,10003014402,-7.5755404834345E1,3.96559404190534E1,P,200,10,1,54,1,,0,1,6,1000,1,9300,44,1,10003014402-38-38,,
H,1,1345290,103,3,10,1000,1,10003014402-39,10003014402,-7.57545010671928E1,3.96552882700183E1,P,200,10,1,54,1,,0,1,6,1000,1,9300,44,1,10003014402-39-39,,
H,1,991090,103,3,10,10,1,10003014402-40,10003014402,-7.57549897328023E1,3.96556715229977E1,P,101,10,2,47,1,,0,1,3,10,1,9920,10,1,10003014402-40-40,,
H,1,791265,103,3,10,0,1,10003014402-41,10003014402,-7.5754743475315E1,3.96553563544313E1,P,300,10,1,52,1,,0,1,6,0,1,,10,1,10003014402-41-41,,
H,1,791265,103,3,10,0,1,10003014402-42,10003014402,-7.5754328790134E1,3.96555159523514E1,P,300,10,1,52,1,,0,1,6,0,1,,10,1,10003014402-42-42,,
H,1,1345290,103,3,10,1000,1,10003014402-43,10003014402,-7.57550655534334E1,3.96554952902131E1,P,200,10,1,54,1,,0,1,6,1000,1,9300,44,1,10003014402-43-43,,
H,1,955668,103,3,10,190,1,10003014402-44,10003014402,-7.57542492880678E1,3.96553167335851E1,P,300,10,1,48,1,,0,1,1,190,1,4250,10,1,10003014402-44-44,,3913746
H,1,259012,103,3,10,3000,1,10003014402-45,10003014402,-7.57541553352397E1,3.96537631101123E1,P,200,10,1,55,1,,0,1,1,3000,1,6260,10,1,10003014402-45-45,,528706385
H,1,858675,103,3,10,1100,1,10003014402-46,10003014402,-7.57544426951912E1,3.9654813896696E1,P,200,10,2,55,1,,0,1,6,1100,1,,34,1,10003014402-46-46,,
H,1,1293114,103,3,10,2400,1,10003014402-47,10003014402,-7.57539645745938E1,3.96540745493656E1,P,103,10,1,55,1,,0,1,1,2400,1,4250,10,1,10003014402-47-47,,441347705
H,1,101510,103,3,10,1900,1,10003014402-48,10003014402,-7.57540161149344E1,3.96548622682281E1,P,300,10,2,56,1,,0,1,6,1900,1,6420,10,1,10003014402-48-48,,
H,1,1110287,103,3,10,5470,1,10003014402-49,10003014402,-7.57542348513426E1,3.96550121186218E1,P,101,10,1,58,1,,0,1,1,5470,1,5610,10,1,10003014402-49-49,,359419470
H,1,1095942,103,3,10,800,1,10003014402-50,10003014402,-7.5755504029703E1,3.96556689554441E1,P,300,10,2,57,1,,0,1,6,800,1,3640,36,1,10003014402-50-50,,
H,1,811935,103,3,10,0,1,10003014402-51,10003014402,-7.57552747423731E1,3.96558279477113E1,P,300,10,2,60,1,,0,1,6,0,1,,36,1,10003014402-51-51,,
H,1,376529,103,3,10,6700,1,10003014402-52,10003014402,-7.5753623240099E1,3.96560902420668E1,P,101,10,2,64,1,,0,1,6,6700,1,710,51,1,10003014402-52-52,,
H,1,142764,103,3,10,9700,1,10003014402-53,10003014402,-7.57551760499285E1,3.96569475122777E1,P,300,10,1,63,1,,0,1,6,9700,1,4140,18,1,10003014402-53-53,,
H,1,376529,103,3,10,6700,1,10003014402-54,10003014402,-7.57544227327885E1,3.96564098021434E1,P,101,10,2,64,1,,0,1,6,6700,1,710,51,1,10003014402-54-54,,
H,1,376529,103,3,10,6700,1,10003014402-55,10003014402,-7.57546230566891E1,3.96565676541098E1,P,101,10,2,64,1,,0,1,6,6700,1,710,51,1,10003014402-55-55,,
H,1,1240096,103,3,10,7500,1,10003014402-56,10003014402,-7.57542320671662E1,3.96555325341534E1,P,103,10,1,63,1,,0,1,3,7500,1,4850,42,1,10003014402-56-56,,
H,1,436881,103,3,10,0,1,10003014402-57,10003014402,-7.5753621092279E1,3.96566044000801E1,P,300,10,2,64,1,,0,1,6,0,1,630,34,1,10003014402-57-57,,
H,1,142764,103,3,10,9700,1,10003014402-58,10003014402,-7.57536985195716E1,3.96560360445463E1,P,300,10,1,63,1,,0,1,6,9700,1,4140,18,1,10003014402-58-58,,
