RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude,RT,puma_id,ST,SEX,AGEP,SCH,SCHG,RELP,HISP,ESR,PINCP,NATIVITY,OCCP,POBP,RAC1P,SYNTHETIC_PID,school_id,workplace_id
H,1,571296,101,3,10,3500,1,10003002500-1,10003002500,-7.55730990120781E1,3.97361838318527E1,P,200,10,2,23,1,,0,1,1,3500,1,2060,24,1,10003002500-1-1,,669580326
H,1,524185,101,3,10,5000,1,10003002500-2,10003002500,-7.55730527623002E1,3.9736341747387E1,P,103,10,1,21,2,15,0,1,1,5000,1,2200,4,1,10003002500-2-2,,898478581
H,1,769575,101,3,10,0,1,10003002500-3,10003002500,-7.55739072648081E1,3.97366685296416E1,P,101,10,1,30,3,16,0,1,6,0,2,,235,1,10003002500-3-3,,
H,1,1030381,101,3,10,4000,1,10003002500-4,10003002500,-7.5572733274593E1,3.97362800829565E1,P,101,10,1,40,1,,0,1,3,4000,1,9620,42,1,10003002500-4-4,,
H,1,532589,101,3,10,7000,1,10003002500-5,10003002500,-7.55727925342884E1,3.97360480450422E1,P,103,10,1,43,1,,0,1,3,7000,1,8965,12,1,10003002500-5-5,,
H,1,955668,101,3,10,190,1,10003002500-6,10003002500,-7.55735975015776E1,3.9736815127317E1,P,300,10,1,48,1,,0,1,1,190,1,4250,10,1,10003002500-6-6,,447417841
H,1,1235711,101,3,10,0,1,10003002500-7,10003002500,-7.55723465795266E1,3.97360772752844E1,P,300,10,1,54,1,,0,1,6,0,1,,24,1,10003002500-7-7,,
H,1,791265,101,3,10,0,1,10003002500-8,10003002500,-7.55740744954712E1,3.97367332502827E1,P,300,10,1,52,1,,0,1,6,0,1,,10,1,10003002500-8-8,,
H,1,791265,101,3,10,0,1,10003002500-9,10003002500,-7.55727121760898E1,3.97365400714301E1,P,300,10,1,52,1,,0,1,6,0,1,,10,1,10003002500-9-9,,
H,1,955668,101,3,10,190,1,10003002500-10,10003002500,-7.5573300992588E1,3.97366451878684E1,P,300,10,1,48,1,,0,1,1,190,1,4250,10,1,10003002500-10-10,,816324206
H,1,85330,101,3,10,860,1,10003002500-11,10003002500,-7.55736950296695E1,3.97363360576991E1,P,101,10,2,52,1,,0,1,6,860,1,5620,10,1,10003002500-11-11,,
H,1,1332975,101,3,10,490,1,10003002500-12,10003002500,-7.55730217308893E1,3.9736502478782E1,P,300,10,2,48,2,15,0,1,6,490,1,,24,1,10003002500-12-12,,
H,1,791265,101,3,10,0,1,10003002500-13,10003002500,-7.55739585110492E1,3.97366629225011E1,P,300,10,1,52,1,,0,1,6,0,1,,10,1,10003002500-13-13,,
H,1,544546,101,3,10,3000,1,10003002500-14,10003002500,-7.55737796928758E1,3.97366532318226E1,P,200,10,1,58,1,,0,1,1,3000,1,7330,19,1,10003002500-14-14,,463560078
H,1,101510,101,3,10,1900,1,10003002500-15,10003002500,-7.55739940535136E1,3.97365749280171E1,P,300,10,2,56,1,,0,1,6,1900,1,6420,10,1,10003002500-15-15,,
H,1,259012,101,3,10,3000,1,10003002500-16,10003002500,-7.5574239970616E1,3.97364773804793E1,P,200,10,1,55,1,,0,1,1,3000,1,6260,10,1,10003002500-16-16,,572251494
H,1,938735,101,3,10,3000,1,10003002500-17,10003002500,-7.55734128833747E1,3.9736782451231E1,P,300,10,2,56,1,,0,1,3,3000,1,4720,24,1,10003002500-17-17,,
H,1,259012,101,3,10,3000,1,10003002500-18,10003002500,-7.55736248632894E1,3.97367455531225E1,P,200,10,1,55,1,,0,1,1,3000,1,6260,10,1,10003002500-18-18,,121453195
H,1,1255345,101,3,10,1500,1,10003002500-19,10003002500,-7.55734495773218E1,3.97369561227512E1,P,103,10,1,64,1,,0,1,6,1500,1,,42,1,10003002500-19-19,,
H,1,1255345,101,3,10,1500,1,10003002500-20,10003002500,-7.55737373406514E1,3.9737041828175E1,P,103,10,1,64,1,,0,1,6,1500,1,,42,1,10003002500-20-20,,
H,1,866055,101,3,10,6500,1,10003002500-21,10003002500,-7.55735327685121E1,3.97372561659258E1,P,103,10,2,62,1,,0,1,6,6500,1,5400,42,1,10003002500-21-21,,
H,1,376529,101,3,10,6700,1,10003002500-22,10003002500,-7.55731022254807E1,3.97374596548873E1,P,101,10,2,64,1,,0,1,6,6700,1,710,51,1,10003002500-22-22,,
H,1,1240096,101,3,10,7500,1,10003002500-23,10003002500,-7.5573648914461E1,3.97371302290294E1,P,103,10,1,63,1,,0,1,3,7500,1,4850,42,1,10003002500-23-23,,
H,1,1255345,101,3,10,1500,1,10003002500-24,10003002500,-7.55736396815374E1,3.97367902896943E1,P,103,10,1,64,1,,0,1,6,1500,1,,42,1,10003002500-24-24,,
H,1,1020419,101,3,10,8000,1,10003002500-25,10003002500,-7.55736974203485E1,3.97367649648004E1,P,300,10,2,74,1,,0,1,6,8000,1,3255,42,1,10003002500-25-25,,
H,1,1487690,101,3,10,130,1,10003002500-26,10003002500,-7.5573342231972E1,3.97375361186162E1,P,300,10,2,72,1,,0,1,6,130,1,,34,1,10003002500-26-26,,
H,1,790185,101,3,10,9000,1,10003002500-27,10003002500,-7.55738406382928E1,3.97372116813763E1,P,101,10,2,67,1,,0,1,6,9000,1,,42,1,10003002500-27-27,,
H,1,1108400,101,3,10,0,1,10003002500-28,10003002500,-7.55735032348432E1,3.97369441857214E1,P,300,10,2,69,1,,0,1,6,0,1,,9,1,10003002500-28-28,,
H,1,1350877,101,3,10,8300,1,10003002500-29,10003002500,-7.5573875006514E1,3.97364559585466E1,P,300,10,2,70,1,,0,1,6,8300,1,,27,1,10003002500-29-29,,
H,1,1374117,101,3,10,7600,1,10003002500-30,10003002500,-7.5573564405471E1,3.9736223686745E1,P,200,10,2,67,1,,0,1,6,7600,1,,25,1,10003002500-30-30,,
H,1,8806,101,3,10,8400,1,10003002500-31,10003002500,-7.5572729651022E1,3.973731563855E1,P,300,10,2,83,1,,0,1,6,8400,1,,11,1,10003002500-31-31,,
H,1,1041974,101,3,10,6700,1,10003002500-32,10003002500,-7.5572111719564E1,3.9736789742499E1,P,104,10,1,83,1,,0,1,6,6700,1,,8,1,10003002500-32-32,,
H,1,182822,101,3,10,7200,1,10003002500-33,10003002500,-7.5572817020998E1,3.9737413138327E1,P,104,10,1,76,1,,0,1,6,7200,1,,10,1,10003002500-33-33,,
H,1,465928,101,3,10,7300,1,10003002500-34,10003002500,-7.5572177597226E1,3.97372127215703E1,P,300,10,1,76,1,,0,13,6,7300,1,,36,1,10003002500-34-34,,
H,1,466491,101,3,10,0,1,10003002500-35,10003002500,-7.55721358937402E1,3.97369425373245E1,P,300,10,2,78,1,,0,1,6,0,1,,34,1,10003002500-35-35,,
H,1,851865,101,3,10,3400,1,10003002500-36,10003002500,-7.55727888061886E1,3.97369646612302E1,P,101,10,1,77,1,,0,1,6,3400,1,,10,1,10003002500-36-36,,
H,1,153960,101,3,10,9800,1,10003002500-37,10003002500,-7.55726953206727E1,3.97370802307494E1,P,102,10,2,86,1,,0,1,6,9800,1,,17,1,10003002500-37-37,,
H,1,603628,101,3,10,5000,1,10003002500-38,10003002500,-7.55732182511447E1,3.97375994043445E1,P,104,10,2,86,1,,0,1,6,5000,1,,34,1,10003002500-38-38,,
H,1,153960,101,3,10,9800,1,10003002500-39,10003002500,-7.55719628221231E1,3.9737173360407E1,P,102,10,2,86,1,,0,1,6,9800,1,,17,1,10003002500-39-39,,
H,1,625921,101,3,10,9910,1,10003002500-40,10003002500,-7.5572870952302E1,3.9737503689233E1,P,200,10,2,93,1,,0,1,6,9910,1,,25,1,10003002500-40-40,,
H,1,625921,101,3,10,9910,1,10003002500-41,10003002500,-7.55727385979563E1,3.97370752080856E1,P,200,10,2,93,1,,0,1,6,9910,1,,25,1,10003002500-41-41,,
H,1,1472248,101,3,10,1500,1,10003002500-42,10003002500,-7.55723827118485E1,3.97370381964457E1,P,300,10,2,88,1,,0,1,6,1500,1,,10,1,10003002500-42-42,,
H,1,1472248,101,3,10,1500,1,10003002500-43,10003002500,-7.55722042233247E1,3.97369271488954E1,P,300,10,2,88,1,,0,1,6,1500,1,,10,1,10003002500-43-43,,
H,1,981965,101,3,10,0,1,10003002500-44,10003002500,-7.55718442605091E1,3.97371584296466E1,P,200,10,2,23,3,11,0,1,3,0,1,9920,10,2,10003002500-44-44,00249486,
H,1,981965,101,3,10,0,1,10003002500-45,10003002500,-7.55722951217451E1,3.97366040698732E1,P,200,10,2,23,3,11,0,1,3,0,1,9920,10,2,10003002500-45-45,A9501052,
H,1,458372,101,3,10,0,1,10003002500-46,10003002500,-7.55727316086068E1,3.97365784420912E1,P,101,10,1,27,1,,0,1,6,0,1,4020,10,2,10003002500-46-46,,
H,1,694540,101,3,10,9100,1,10003002500-47,10003002500,-7.55722174903765E1,3.97366628803587E1,P,200,10,1,42,1,,0,1,6,9100,1,,36,2,10003002500-47-47,,
H,1,694540,101,3,10,9100,1,10003002500-48,10003002500,-7.55726142284462E1,3.9736352350916E1,P,200,10,1,42,1,,0,1,6,9100,1,,36,2,10003002500-48-48,,
H,1,1066127,101,3,10,0,1,10003002500-49,10003002500,-7.55719728109758E1,3.97364633468747E1,P,101,10,1,48,1,,0,1,6,0,1,,10,2,10003002500-49-49,,
H,1,1066127,101,3,10,0,1,10003002500-50,10003002500,-7.55720997176765E1,3.9736575180244E1,P,101,10,1,48,1,,0,1,6,0,1,,10,2,10003002500-50-50,,
H,1,547054,101,3,10,8000,1,10003002500-51,10003002500,-7.55724229271903E1,3.97365380902801E1,P,101,10,1,54,1,,0,1,6,8000,1,,10,2,10003002500-51-51,,
H,1,1128561,101,3,10,8700,1,10003002500-52,10003002500,-7.557257987055E1,3.97362399708328E1,P,104,10,2,50,1,,0,1,6,8700,1,,10,2,10003002500-52-52,,
H,1,1483167,101,3,10,3000,1,10003002500-53,10003002500,-7.55730416805597E1,3.9735809076092E1,P,101,10,2,59,1,,0,1,3,3000,1,830,36,2,10003002500-53-53,,
H,1,1483167,101,3,10,3000,1,10003002500-54,10003002500,-7.55728985662403E1,3.97363948315503E1,P,101,10,2,59,1,,0,1,3,3000,1,830,36,2,10003002500-54-54,,
H,1,1483167,101,3,10,3000,1,10003002500-55,10003002500,-7.55723192058297E1,3.9736078179042E1,P,101,10,2,59,1,,0,1,3,3000,1,830,36,2,10003002500-55-55,,
