RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude
H,1,921418,101,3,10,9600,1,10003000900-1,10003000900,-7.55398202569118E1,3.97408828389126E1
H,1,790185,101,3,10,9000,1,10003000900-2,10003000900,-7.5539601851476E1,3.97411938855305E1
H,1,1041974,101,3,10,6700,1,10003000900-3,10003000900,-7.55397210828262E1,3.97422826408242E1
H,1,652298,101,3,10,7500,1,10003000900-4,10003000900,-7.55394789814744E1,3.97419571275327E1
H,1,182822,101,3,10,7200,1,10003000900-5,10003000900,-7.55395921295032E1,3.97418275002798E1
H,1,981965,101,3,10,0,1,10003000900-6,10003000900,-7.55398157044956E1,3.97412995225603E1
H,1,102644,101,3,10,0,1,10003000900-7,10003000900,-7.55394044763261E1,3.97414569135366E1
H,1,981965,101,3,10,0,1,10003000900-8,10003000900,-7.55396446762234E1,3.97412430444498E1
H,1,981965,101,3,10,0,1,10003000900-9,10003000900,-7.55389894128694E1,3.9741476870221E1
H,1,102644,101,3,10,0,1,10003000900-10,10003000900,-7.5539341945593E1,3.97417536683611E1
H,1,842751,101,3,10,8000,1,10003000900-11,10003000900,-7.55390109280967E1,3.97418932313782E1
H,1,102644,101,3,10,0,1,10003000900-12,10003000900,-7.5538939724521E1,3.97417481601967E1
H,1,102644,101,3,10,0,1,10003000900-13,10003000900,-7.55391947910463E1,3.97422427148116E1
H,1,981965,101,3,10,0,1,10003000900-14,10003000900,-7.5539113843888E1,3.97419225672826E1
H,1,842751,101,3,10,8000,1,10003000900-15,10003000900,-7.55390306110447E1,3.97420555137406E1
H,1,981965,101,3,10,0,1,10003000900-16,10003000900,-7.55389495429302E1,3.9741772529053E1
H,1,981965,101,3,10,0,1,10003000900-17,10003000900,-7.5538638413133E1,3.9742167654553E1
H,1,842751,101,3,10,8000,1,10003000900-18,10003000900,-7.55391353060896E1,3.9741719615466E1
H,1,981965,101,3,10,0,1,10003000900-19,10003000900,-7.55410029282411E1,3.97417270659261E1
H,1,842751,101,3,10,8000,1,10003000900-20,10003000900,-7.5540898566217E1,3.97420357759374E1
H,1,102644,101,3,10,0,1,10003000900-21,10003000900,-7.55405143929735E1,3.9741798909411E1
H,1,458372,101,3,10,0,1,10003000900-22,10003000900,-7.55409710168322E1,3.9741973226862E1
H,1,458372,101,3,10,0,1,10003000900-23,10003000900,-7.554061737476E1,3.97423058603145E1
H,1,458372,101,3,10,0,1,10003000900-24,10003000900,-7.55406505563625E1,3.97419126580587E1
H,1,458372,101,3,10,0,1,10003000900-25,10003000900,-7.5540283770015E1,3.97423704473067E1
H,1,458372,101,3,10,0,1,10003000900-26,10003000900,-7.55406483859084E1,3.9742300444122E1
H,1,458372,101,3,10,0,1,10003000900-27,10003000900,-7.5540759336205E1,3.9742521087562E1
H,1,694540,101,3,10,9100,1,10003000900-28,10003000900,-7.55405032467082E1,3.9742664721188E1
H,1,694540,101,3,10,9100,1,10003000900-29,10003000900,-7.55401095789712E1,3.97423409800086E1
H,1,694540,101,3,10,9100,1,10003000900-30,10003000900,-7.55401329464368E1,3.97419691582214E1
H,1,694540,101,3,10,9100,1,10003000900-31,10003000900,-7.55404909268248E1,3.97413094368707E1
H,1,694540,101,3,10,9100,1,10003000900-32,10003000900,-7.5540132693603E1,3.9741297774367E1
H,1,694540,101,3,10,9100,1,10003000900-33,10003000900,-7.55399095126965E1,3.97417146795882E1
H,1,547054,101,3,10,8000,1,10003000900-34,10003000900,-7.55398599857502E1,3.97423817327045E1
H,1,1128561,101,3,10,8700,1,10003000900-35,10003000900,-7.55402473403906E1,3.97419036963037E1
H,1,547054,101,3,10,8000,1,10003000900-36,10003000900,-7.55401455989333E1,3.97414174017412E1
H,1,1128561,101,3,10,8700,1,10003000900-37,10003000900,-7.55407691518994E1,3.97414491130595E1
H,1,1128561,101,3,10,8700,1,10003000900-38,10003000900,-7.55405297998818E1,3.97417397673371E1
H,1,1066127,101,3,10,0,1,10003000900-39,10003000900,-7.55404406369343E1,3.97417885966076E1
H,1,1128561,101,3,10,8700,1,10003000900-40,10003000900,-7.55431826043741E1,3.97426597749433E1
H,1,547054,101,3,10,8000,1,10003000900-41,10003000900,-7.55430087674737E1,3.97424839643937E1
H,1,547054,101,3,10,8000,1,10003000900-42,10003000900,-7.55431848084833E1,3.9742627092999E1
H,1,1066127,101,3,10,0,1,10003000900-43,10003000900,-7.55427403132005E1,3.97423141271264E1
H,1,1128561,101,3,10,8700,1,10003000900-44,10003000900,-7.5542795841309E1,3.97420977717008E1
H,1,1066127,101,3,10,0,1,10003000900-45,10003000900,-7.5542689011967E1,3.97425363561917E1
H,1,1128561,101,3,10,8700,1,10003000900-46,10003000900,-7.55430782934951E1,3.97423395650532E1
H,1,1066127,101,3,10,0,1,10003000900-47,10003000900,-7.5542622727024E1,3.9742232017601E1
H,1,1128561,101,3,10,8700,1,10003000900-48,10003000900,-7.5542657740377E1,3.97423158523981E1
H,1,547054,101,3,10,8000,1,10003000900-49,10003000900,-7.55421412729443E1,3.9742510811537E1
H,1,1066127,101,3,10,0,1,10003000900-50,10003000900,-7.55425025835108E1,3.9741972786046E1
H,1,1116768,101,3,10,9500,1,10003000900-51,10003000900,-7.5542142569222E1,3.97419799601983E1
H,1,1116768,101,3,10,9500,1,10003000900-52,10003000900,-7.55420214949758E1,3.97419438085562E1
H,1,1189745,101,3,10,2400,1,10003000900-53,10003000900,-7.55417925185103E1,3.9741971925611E1
H,1,1189745,101,3,10,2400,1,10003000900-54,10003000900,-7.55423971234457E1,3.97417360493055E1
H,1,1189745,101,3,10,2400,1,10003000900-55,10003000900,-7.5542055649708E1,3.97422489264732E1
H,1,1116768,101,3,10,9500,1,10003000900-56,10003000900,-7.55416020668156E1,3.97418436791102E1
H,1,1189745,101,3,10,2400,1,10003000900-57,10003000900,-7.55417248847911E1,3.97422669982522E1
H,1,1116768,101,3,10,9500,1,10003000900-58,10003000900,-7.55414964555833E1,3.97419840040681E1
H,1,1189745,101,3,10,2400,1,10003000900-59,10003000900,-7.55413444799462E1,3.97418044989475E1
H,1,1483167,101,3,10,3000,1,10003000900-60,10003000900,-7.55417188412868E1,3.97418467795417E1
H,1,1116768,101,3,10,9500,1,10003000900-61,10003000900,-7.55416333428252E1,3.97416696288142E1
H,1,1189745,101,3,10,2400,1,10003000900-62,10003000900,-7.55414232339471E1,3.97417622883835E1
