RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude
H,1,724559,101,3,10,8000,1,10003001902-1,10003001902,-7.55234748509328E1,3.97117089667897E1
H,1,724559,101,3,10,8000,1,10003001902-2,10003001902,-7.55282360710931E1,3.97077475846636E1
H,1,742382,101,3,10,2800,1,10003001902-3,10003001902,-7.5529128587822E1,3.97075661573781E1
H,1,532589,101,3,10,7000,1,10003001902-4,10003001902,-7.55314175389783E1,3.9707711716139E1
H,1,1345290,101,3,10,1000,1,10003001902-5,10003001902,-7.55220546536695E1,3.97127358146283E1
H,1,1235711,101,3,10,0,1,10003001902-6,10003001902,-7.55256952877915E1,3.97076078829463E1
H,1,1309363,101,3,10,0,1,10003001902-7,10003001902,-7.5523677328302E1,3.97102283589577E1
H,1,101510,101,3,10,1900,1,10003001902-8,10003001902,-7.5524875035206E1,3.97079893450222E1
H,1,142764,101,3,10,9700,1,10003001902-9,10003001902,-7.55249469343711E1,3.97074528750544E1
H,1,866055,101,3,10,6500,1,10003001902-10,10003001902,-7.5524004545858E1,3.9709778051703E1
H,1,744959,101,3,10,8000,1,10003001902-11,10003001902,-7.55235375588381E1,3.97110558618428E1
H,1,1406099,101,3,10,6200,1,10003001902-12,10003001902,-7.55301735107798E1,3.9707417838044E1
H,1,568975,101,3,10,7200,1,10003001902-13,10003001902,-7.55308328537617E1,3.97077048585508E1
H,1,603628,101,3,10,5000,1,10003001902-14,10003001902,-7.55277063541022E1,3.97079065642872E1
H,1,104055,101,3,10,9800,1,10003001902-15,10003001902,-7.55244731352041E1,3.97084009675291E1
H,1,86815,101,3,10,91100,1,10003001902-16,10003001902,-7.5523254587726E1,3.97113847593234E1
H,1,842751,101,3,10,8000,1,10003001902-17,10003001902,-7.55236705256341E1,3.97115450444848E1
H,1,102644,101,3,10,0,1,10003001902-18,10003001902,-7.55272340942832E1,3.97079064484452E1
H,1,102644,101,3,10,0,1,10003001902-19,10003001902,-7.5522938429637E1,3.97118660631946E1
H,1,102644,101,3,10,0,1,10003001902-20,10003001902,-7.5529794587982E1,3.97077344213898E1
H,1,102644,101,3,10,0,1,10003001902-21,10003001902,-7.5525684419617E1,3.97074549922225E1
H,1,102644,101,3,10,0,1,10003001902-22,10003001902,-7.55238275781617E1,3.97108526624216E1
H,1,981965,101,3,10,0,1,10003001902-23,10003001902,-7.55281878872161E1,3.9707736170406E1
H,1,102644,101,3,10,0,1,10003001902-24,10003001902,-7.5530962221886E1,3.97076467595693E1
H,1,102644,101,3,10,0,1,10003001902-25,10003001902,-7.55232050732273E1,3.97118305076903E1
H,1,842751,101,3,10,8000,1,10003001902-26,10003001902,-7.55244614671056E1,3.97086809642553E1
H,1,842751,101,3,10,8000,1,10003001902-27,10003001902,-7.55263691149305E1,3.97075544450694E1
H,1,102644,101,3,10,0,1,10003001902-28,10003001902,-7.55238360531471E1,3.97102323050504E1
H,1,458372,101,3,10,0,1,10003001902-29,10003001902,-7.55284183563503E1,3.97079611910416E1
