"workplace_id","stcotr","employees","placed","wkb_geometry"
402716203,46013951200,21,44,"0101000020E6100000357EE19524A058C02332ACE28DEA4640"
402715130,46013951400,18,13,"0101000020E6100000FFE6C589AF9D58C0D09A1F7F69BB4640"
402719090,46045982100,13,10,"0101000020E6100000069E7B0F97C158C057957D5704B94640"
552482952,46107000100,1,1,"0101000020E6100000C423F1F274F158C0D61EF642019F4640"
552482986,46107000100,23,21,"0101000020E6100000F46F97FDBAF158C016BEBED6A59E4640"
552483026,46107000100,1,1,"0101000020E6100000C423F1F274F158C0D61EF642019F4640"
552483034,46107000100,14,13,"0101000020E610000004594FADBEF158C0D2E5CDE15A9F4640"
552483042,46107000100,5,5,"0101000020E61000005E66D828EBF458C0658BA4DDE8994640"
552483059,46107000100,2,2,"0101000020E61000003AE8120EBDF158C021B0726891914640"
552482945,46129985100,3,4,"0101000020E6100000F84F3750E0F958C08121AB5B3DA34640"
552482978,46129985100,3,4,"0101000020E61000002BDCF29194F658C07496598462A14640"
593671696,46003973600,10,12,"0101000020E61000004850FC18739C58C038BC202235EB4540"
674377973,46003973600,1,2,"0101000020E61000001D0247020D9F58C0DAC87553CADB4540"
400249258,46003973600,4,5,"0101000020E6100000DDD1FF722DA858C02315C61682EE4540"
657268884,46003973600,5,6,"0101000020E6100000D636C5E3A29B58C066683C11C4F14540"
400337780,46003973600,1,2,"0101000020E6100000B3D2A41474B158C0344B02D4D4D04540"
377795083,46005956600,2,4,"0101000020E6100000E3FDB8FDF28758C0C190D5AD9E494640"
377795299,46005956600,1,2,"0101000020E6100000DEACC1FBAA8158C0CB85CABF96474640"
377795638,46005956600,1,2,"0101000020E61000005308E412477D58C0DCBA9BA73A4C4640"
148822679,46005956600,4,8,"0101000020E61000001C98DC28B28D58C02B14E97E4E234640"
313170300,46005956600,6,12,"0101000020E61000005308E412477D58C0DCBA9BA73A4C4640"
269495461,46005956600,6,12,"0101000020E6100000EC51B81E857F58C0C899266C3F374640"
634240972,46005956600,2,4,"0101000020E6100000882B67EF8C8858C0A35BAFE9412F4640"
