RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude,RT,puma_id,ST,SEX,AGEP,SCH,SCHG,RELP,HISP,ESR,PINCP,NATIVITY,OCCP,POBP,RAC1P,SYNTHETIC_PID,school_id,workplace_id
H,1,571296,102,3,10,3500,1,10003013501-1,10003013501,-7.56348202734934E1,3.97390560914815E1,P,200,10,2,23,1,,0,1,1,3500,1,2060,24,1,10003013501-1-1,,394616312
H,1,532589,102,3,10,7000,1,10003013501-2,10003013501,-7.5635443858433E1,3.97392540013765E1,P,103,10,1,43,1,,0,1,3,7000,1,8965,12,1,10003013501-2-2,,
H,1,532589,102,3,10,7000,1,10003013501-3,10003013501,-7.56357639773821E1,3.97398160473471E1,P,103,10,1,43,1,,0,1,3,7000,1,8965,12,1,10003013501-3-3,,
H,1,991090,102,3,10,10,1,10003013501-4,10003013501,-7.56350243906425E1,3.9738850523651E1,P,101,10,2,47,1,,0,1,3,10,1,9920,10,1,10003013501-4-4,,
H,1,955668,102,3,10,190,1,10003013501-5,10003013501,-7.56358083035465E1,3.97397388037541E1,P,300,10,1,48,1,,0,1,1,190,1,4250,10,1,10003013501-5-5,,998144703
H,1,85330,102,3,10,860,1,10003013501-6,10003013501,-7.56359209867758E1,3.97394871401348E1,P,101,10,2,52,1,,0,1,6,860,1,5620,10,1,10003013501-6-6,,
H,1,791265,102,3,10,0,1,10003013501-7,10003013501,-7.56363198286325E1,3.97394418228882E1,P,300,10,1,52,1,,0,1,6,0,1,,10,1,10003013501-7-7,,
H,1,101510,102,3,10,1900,1,10003013501-8,10003013501,-7.56405912941037E1,3.97429127373122E1,P,300,10,2,56,1,,0,1,6,1900,1,6420,10,1,10003013501-8-8,,
H,1,1110287,102,3,10,5470,1,10003013501-9,10003013501,-7.56406351102885E1,3.97432531790616E1,P,101,10,1,58,1,,0,1,1,5470,1,5610,10,1,10003013501-9-9,,970675682
H,1,436881,102,3,10,0,1,10003013501-10,10003013501,-7.56399809362675E1,3.97425298462216E1,P,300,10,2,64,1,,0,1,6,0,1,630,34,1,10003013501-10-10,,
