RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude,RT,puma_id,ST,SEX,AGEP,SCH,SCHG,RELP,HISP,ESR,PINCP,NATIVITY,OCCP,POBP,RAC1P,SYNTHETIC_PID,school_id,workplace_id
H,1,955668,104,3,10,190,1,10003016804-1,10003016804,-7.5620594020514E1,3.94591236794007E1,P,300,10,1,48,1,,0,1,1,190,1,4250,10,1,10003016804-1-1,,9144650
H,1,1406099,104,3,10,6200,1,10003016804-2,10003016804,-7.56203456790172E1,3.94591772341613E1,P,300,10,1,69,1,,0,1,6,6200,1,,24,1,10003016804-2-2,,
H,1,397144,104,3,10,7500,1,10003016804-3,10003016804,-7.56200486870514E1,3.94599386963691E1,P,300,10,2,76,1,,0,1,6,7500,1,,42,1,10003016804-3-3,,
H,1,153960,104,3,10,9800,1,10003016804-4,10003016804,-7.56195502508513E1,3.94605542856432E1,P,102,10,2,86,1,,0,1,6,9800,1,,17,1,10003016804-4-4,,
H,1,826220,104,3,10,4000,1,10003016804-5,10003016804,-7.56195392839967E1,3.94608075170132E1,P,101,10,1,67,1,,0,1,6,4000,2,7200,333,2,10003016804-5-5,,
H,1,1040847,104,3,10,0,1,10003016804-6,10003016804,-7.56186613496148E1,3.94615076929962E1,P,300,10,2,74,1,,0,1,6,0,1,,10,2,10003016804-6-6,,
H,1,32740,104,3,10,9800,1,10003016804-7,10003016804,-7.5618613195873E1,3.94621667520573E1,P,101,10,1,85,1,,0,1,6,9800,1,,37,2,10003016804-7-7,,
H,1,385955,104,3,10,10600,1,10003016804-8,10003016804,-7.561802535331E1,3.94623885588946E1,P,200,10,2,40,1,,0,1,6,10600,1,,55,1,10003016804-8-8,,
H,1,228627,104,3,10,12000,1,10003016804-9,10003016804,-7.5617566960013E1,3.94624046642744E1,P,300,10,1,49,1,,0,1,6,12000,1,4965,42,1,10003016804-9-9,,
H,1,806374,104,3,10,10100,1,10003016804-10,10003016804,-7.5615525575047E1,3.94644487560412E1,P,300,10,1,48,1,,0,1,1,10100,1,800,24,1,10003016804-10-10,,400846580
H,1,885980,104,3,10,10000,1,10003016804-11,10003016804,-7.56154912660845E1,3.94644557212303E1,P,300,10,1,55,1,,0,1,1,10000,1,9140,10,1,10003016804-11-11,,898479357
H,1,1123070,104,3,10,12300,1,10003016804-12,10003016804,-7.56150704500087E1,3.94647482436053E1,P,300,10,1,67,1,,0,1,6,12300,1,,54,1,10003016804-12-12,,
H,1,767273,104,3,10,12000,1,10003016804-13,10003016804,-7.5613953870514E1,3.94657296559681E1,P,103,10,1,68,1,,0,1,6,12000,1,,47,1,10003016804-13-13,,
H,1,1027536,104,3,10,14500,1,10003016804-14,10003016804,-7.56251113107447E1,3.9454688843601E1,P,300,10,2,77,1,,0,1,6,14500,1,,24,1,10003016804-14-14,,
H,1,1288967,104,3,10,12000,1,10003016804-15,10003016804,-7.56245166705208E1,3.94550864003168E1,P,200,10,2,82,1,,0,1,6,12000,1,,34,1,10003016804-15-15,,
H,1,1100910,104,3,10,10000,1,10003016804-16,10003016804,-7.56234483024645E1,3.94562668638281E1,P,103,10,2,85,1,,0,1,6,10000,1,4720,10,1,10003016804-16-16,,
H,1,1086316,104,3,10,11700,1,10003016804-17,10003016804,-7.56244924089691E1,3.94552625803813E1,P,300,10,2,87,1,,0,1,6,11700,1,,10,1,10003016804-17-17,,
H,1,642595,104,3,10,13500,1,10003016804-18,10003016804,-7.56227356542574E1,3.94571033745868E1,P,101,10,1,73,1,,0,1,6,13500,1,,10,2,10003016804-18-18,,
