RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude
H,1,532589,200,3,10,7000,1,10001041702-1,10001041702,-7.55455985322536E1,3.90955092260377E1
H,1,791265,200,3,10,0,1,10001041702-2,10001041702,-7.5545179295216E1,3.90961269187506E1
H,1,1345290,200,3,10,1000,1,10001041702-3,10001041702,-7.55450534370181E1,3.90962419407826E1
H,1,858675,200,3,10,1100,1,10001041702-4,10001041702,-7.55458415755501E1,3.90959663961137E1
H,1,1255345,200,3,10,1500,1,10001041702-5,10001041702,-7.5545224162405E1,3.90969066236138E1
H,1,142764,200,3,10,9700,1,10001041702-6,10001041702,-7.5545253375812E1,3.90968925765853E1
H,1,718931,200,3,10,10,1,10001041702-7,10001041702,-7.55449220339033E1,3.90973690447201E1
H,1,142764,200,3,10,9700,1,10001041702-8,10001041702,-7.55447748872276E1,3.90981883531406E1
H,1,1108400,200,3,10,0,1,10001041702-9,10001041702,-7.5544479470027E1,3.9098166449364E1
H,1,384082,200,3,10,480,1,10001041702-10,10001041702,-7.55443631232117E1,3.90985764118581E1
H,1,784926,200,3,10,7000,1,10001041702-11,10001041702,-7.5545966402449E1,3.9095528759436E1
H,1,1020419,200,3,10,8000,1,10001041702-12,10001041702,-7.55455087314736E1,3.90954705573563E1
H,1,465928,200,3,10,7300,1,10001041702-13,10001041702,-7.55456029907063E1,3.90958632396965E1
H,1,1046594,200,3,10,0,1,10001041702-14,10001041702,-7.5545193253157E1,3.90956484902354E1
H,1,529919,200,3,10,1500,1,10001041702-15,10001041702,-7.55446724363595E1,3.90965876161591E1
H,1,466491,200,3,10,0,1,10001041702-16,10001041702,-7.55447360000944E1,3.90964347864114E1
H,1,702107,200,3,10,7200,1,10001041702-17,10001041702,-7.55451103261035E1,3.90968500933683E1
H,1,476958,200,3,10,0,1,10001041702-18,10001041702,-7.55444119649091E1,3.90973513668905E1
H,1,694540,200,3,10,9100,1,10001041702-19,10001041702,-7.55447057258734E1,3.90976686300644E1
H,1,1128561,200,3,10,8700,1,10001041702-20,10001041702,-7.55442555644192E1,3.90983229902585E1
